,titles
235,"Ao no 6-go, Ao no Rokugou, Ao no Rokugo"
236,Ben-To Picture Drama
238,ベン・トー
239,"Ben-To Specials, Bento Specials, Ben-Tou Specials, Bento Picture Drama, Ben-Tou Picture Drama"
240,Seikai no Monshou Special
242,星界の紋章 総集編
243,"Seikai no Monshou Movie, Crest of the Stars Special Edition"
244,Tegamibachi Gakuen
245,Letter Bee Academy
246,テガミバチ学園
247,"Tegami Bachi Specials, Letter Bee Specials"
248,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger
250,おにくだいすき! ゼウシくん「すてきなハンバーグ」
252,Soul Buster
253,Soul Buster
254,侍霊演武[ソウルバスター]
255,Shi Ling Yanwu
256,Death Billiards
257,Death Billiards
258,デス・ビリヤード
259,"Wakate Animator Ikusei Project, 2012 Young Animator Training Project, Anime Mirai 2012"
260,Live On Cardliver Kakeru
262,ライブオン CARDLIVER 翔
264,Triage X
265,Triage X
266,トリアージX
268,Shinkai no Kantai: Submarine 707
270,深海の艦隊 サブマリン707
271,Undersea Fleet Submarine 707F
272,Nanatsu no Bitoku
273,The Seven Heavenly Virtues
274,七つの美徳
276,Hai to Gensou no Grimgar Special
277,Grimgar: Ashes and Illusions Special
278,灰と幻想のグリムガル 「風呂の壁にかけた青春――one more センチメートル」
279,"Grimgar of Fantasy and Ash Special, Grimgal of Ashes and Illusion Special, Grimgal of Ashes and Fantasies Special, Hai to Gensou no Grimgal Special, Grimgar of Fantasy and Ash Episode 2.5, Grimgal of Ashes and Illusion Episode 2.5"
280,Medamayaki no Kimi Itsu Tsubusu?
282,目玉焼きの黄身 いつつぶす？
284,Bounty Dog: Getsumen no Ibu
286,バウンティドッグ~月面のイブ~
288,Aisai Nikki
290,愛妻日記
292,Chikyuu Shoujo Arjuna
293,Arjuna
294,地球少女アルジュナ
295,"Earth Maiden Arjuna, Earth Girl Arjuna"
296,K-On!!
297,K-ON! Season 2
298,けいおん!!
299,"Keion 2, K-On!! 2nd Season"
300,Haru wo Daite Ita
301,Embracing Love
302,春を抱いていた
303,Haru wo Daiteita
304,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken
305,Pokemon 4D: Pikachu&#039;s Ocean Adventure
306,ポケモン3Dアドベンチャー2 ピカチュウの海底大冒険
307,Pokemon 4D: Pikachu no Kaiyou Adventure
308,Soredemo Machi wa Mawatteiru
309,And Yet The Town Moves
310,それでも町は廻っている
311,SoreMachi
312,Majokko Shimai no Yoyo to Nene
313,Magical Sisters Yoyo & Nene
314,魔女っこ姉妹のヨヨとネネ
315,Majocco Shimai no Yoyo to Nene
316,Bernard-jou Iwaku.
317,Miss Bernard said.
318,バーナード嬢曰く。
320,Aoi Umi no Tristia
322,蒼い海のトリスティア
323,Tristia of the Deep Blue Sea
324,Space☆Dandy
325,Space Dandy
326,スペース☆ダンディ
328,Nanatsu no Taizai OVA
330,七つの大罪
331,"Nanatsu no Taizai: Ban no Bangai-hen, The Seven Deadly Sins: Ban&#039;s Side Story"
332,Aoki Hagane no Arpeggio: Ars Nova
333,Arpeggio of Blue Steel -Ars Nova-
334,蒼き鋼のアルペジオ ‐アルス・ノヴァ‐
335,Aoki Hagane no Arpeggio: Ars Nova
336,ClassicaLoid 2nd Season
337,ClassicaLoid 2
338,クラシカロイド 第2シリーズ
340,Juvenile Pornography The Animation
